%eval_id             x1             x2  response_fn_1 
       1   0.4992819338              1    56.60840266 
       2   0.6524128887   0.6524128887    5.263294211 
       3   0.6524128887              1    33.10946169 
       4   0.6524128887         1.5625    129.3652967 
       5   0.6524128887    3.742118361    1100.021979 
       6    1.054258658              1    1.245306525 
       7         1.5625   0.6524128887    320.3661309 
       8         1.5625              1     208.081604 
       9         1.5625         1.5625    77.56402588 
      10         1.5625    3.742118361    169.5016059 
      11    2.035772293              1    989.7783566 
      12    3.742118361   0.6524128887    17832.53795 
      13    3.742118361              1    16916.48996 
      14    3.742118361         1.5625    15485.24248 
      15    3.742118361    3.742118361    10537.01156 
      16    3.814697266              1    18373.36316 
      17    7.148105552              1    250992.8394 
      18    13.80298385              1    3592036.533 
      19    29.14568752              1    71991113.15 
