%eval_id             x1             x2         obj_fn 
       1              0              0              1 
       2            0.2              0            0.8 
       3   0.4666666667              0    5.027160494 
       4            0.2   0.2666666667    5.777777778 
       5 -0.06666666667              0    1.139753086 
       6            0.2  -0.2666666667    10.04444444 
       7            0.4              0           2.92 
       8            0.2            0.2            3.2 
       9              0              0              1 
      10            0.2           -0.2            6.4 
      11           0.35              0       1.923125 
      12            0.2           0.15           1.85 
      13           0.05              0       0.903125 
      14            0.2          -0.15           4.25 
      15         0.3125              0    1.426330566 
      16            0.2         0.1125       1.165625 
      17         0.0875              0   0.8385180664 
      18            0.2        -0.1125       2.965625 
      19       0.284375              0    1.166100931 
      20            0.2       0.084375   0.8369140625 
      21       0.115625              0   0.7999925327 
      22            0.2      -0.084375    2.186914063 
      23     0.26328125              0    1.023239396 
      24            0.2     0.06328125   0.6942016602 
      25       0.284375     0.06328125   0.5430525303 
      26       0.396875     0.06328125    1.251661081 
      27       0.284375     0.17578125    1.412949991 
      28       0.171875     0.06328125   0.7996313572 
      29       0.284375    -0.04921875    2.204405069 
      30        0.36875     0.06328125   0.9269374084 
      31       0.284375     0.14765625   0.9581709385 
      32            0.2     0.06328125   0.6942016602 
      33       0.284375    -0.02109375    1.551762247 
      34     0.34765625     0.06328125   0.7571396763 
      35       0.284375      0.1265625   0.7209074497 
      36     0.22109375     0.06328125   0.6274275011 
      37       0.284375              0    1.166100931 
      38   0.3318359375     0.06328125   0.6657840659 
      39       0.284375   0.1107421875   0.6013590336 
      40   0.2369140625     0.06328125    0.587416656 
      41       0.284375   0.0158203125   0.9352541447 
      42   0.3199707031     0.06328125   0.6153208513 
      43       0.284375  0.09887695312   0.5445472717 
      44   0.2487792969     0.06328125   0.5645257858 
      45       0.284375  0.02768554687    0.794968605 
      46   0.3110717773     0.06328125   0.5867426047 
      47       0.284375  0.08997802734   0.5204163224 
      48   0.3199707031  0.08997802734     0.47782384 
      49   0.3674316406  0.08997802734   0.6028946563 
      50   0.3199707031   0.1374389648   0.5853441756 
      51   0.2725097656  0.08997802734   0.5539427368 
      52   0.3199707031  0.04251708984    0.820811622 
      53   0.3555664063  0.08997802734   0.5481508383 
      54   0.3199707031   0.1255737305   0.5162289557 
      55       0.284375  0.08997802734   0.5204163224 
      56   0.3199707031  0.05438232422   0.6928295405 
      57   0.3466674805  0.08997802734   0.5180492817 
      58   0.3199707031   0.1166748047   0.4828704127 
