%eval_id interface              w              t              L              p              E              X              Y           mass         stress   displacement 
1            NO_ID    1.157088616   0.8214092809    4.550902555    464.3973861    28898712.39     59.9958393    93.56070879     1.16243798     104637.499  0.00200028262 
2            NO_ID    1.028010685   0.9639081974    5.826941029    401.2393158    26188761.16    52.52167199    119.2609215     1.34070636     105852.633  0.00419751729 
3            NO_ID    1.082266572    1.038593502     5.24494489    424.0353139    26826083.83    42.74393751    92.96708908     1.44670194     68862.9722  0.00179139959 
4            NO_ID    0.953895064   0.9944245023    4.180245167    416.6677453    34178929.78    55.01395442    106.0423303    0.956137422     103930.358  0.00110945325 
5            NO_ID    1.049074214   0.9378547728    5.302376469    516.7574553    34541406.75    53.11238287    117.1127786     1.56011056     107025.878  0.00248499502 
6            NO_ID    1.017546826   0.9556706251    5.543580372    445.2334195    34765519.58    45.32254003    84.39434584     1.38898324     81969.1108  0.00206099853 
7            NO_ID    1.116218907    1.086958133    4.700103796    496.7371113    25239533.67    43.33507792    106.5745427     1.63927762     67686.5211  0.00131118652 
8            NO_ID    1.125791067    1.033643741     4.86773184    434.1836455    23996670.03    42.36417958    87.08940229     1.42326263     62845.4823  0.00145557552 
9            NO_ID   0.8580428218    1.139115285    4.577181603     518.273075    25176574.84    49.16278357    92.30140979     1.34180589     84913.4947  0.00152081187 
10           NO_ID   0.8844673576   0.9475738759    5.270665787    440.2397904    30256959.11     40.1600424    108.8183458     1.12539744     114720.317  0.00303983058 
11           NO_ID   0.8883221381    1.010586424    4.127339968    521.6531067     24442731.3    57.59562912    86.82380032     1.11854188     100755.007  0.00143607975 
12           NO_ID    1.161935162   0.8855442758    4.514651945    540.8579353    29566708.16    55.87809008    109.8092412     1.45397158     100350.852   0.0017666191 
13           NO_ID   0.8639399047    1.018812136    4.677361576    530.6799631    33457287.51     56.6146174    117.6425548     1.26435066      123382.82   0.0018955635 
14           NO_ID   0.8932923044    1.078414838     5.12869247    534.5058847    30993476.63    56.93917145    109.6551159      1.5282516     103030.676   0.0021370344 
15           NO_ID    1.105976212     1.19958059    5.462071111    491.8659773    29066981.78    54.63698396    85.94233726     2.06269783     54742.3917  0.00126060432 
16           NO_ID   0.8080816789    0.933907493    5.872404153    525.3610352    30828554.91    53.56735874    97.25254362     1.34737715     135495.379  0.00481974913 
17           NO_ID   0.9076793088     1.02753061    5.947339867     460.567646    32918611.09    45.82618472    118.8198463      1.4784262     106869.834  0.00344048075 
18           NO_ID    1.000373997    1.099827756    5.797595406    512.1035297    33639208.28    47.89932474    93.91369308     1.89037953     72677.4066  0.00192087512 
19           NO_ID    1.057036684    1.164040927    5.622565667    577.5941728    23369562.92    56.20198616    98.20529675     2.31244766     67066.6922  0.00218136487 
20           NO_ID    1.174727319    1.071576353     4.07587513    436.8208843    32618295.16    41.14943391    103.4966563     1.29700221     62731.8562 0.000626232025 
21           NO_ID   0.9609937088    1.066283778    4.477119168    565.4186754    28568350.08    52.23165687    91.71291477     1.50113037      82188.666  0.00120806179 
22           NO_ID   0.9742557462    1.186692222    4.144053214    550.5145395    32334285.01    49.78858706    107.4816846     1.52637573     73525.6213 0.000705217991 
23           NO_ID    1.190278891   0.8637350508    5.912112015    418.1756316    31569712.84    43.64310617    80.02928558     1.47091275     75473.0075  0.00284238228 
24           NO_ID   0.8432512272   0.8371160347    4.975291613    528.3155075    23238840.83      45.430972    96.24878407     1.07376886     143521.298  0.00454902232 
25           NO_ID   0.9174118991    1.094104095    5.394777522    412.8718293    28788815.97    58.94954855    114.5702057     1.29380273     101005.241  0.00257762211 
26           NO_ID   0.8131792985    1.080893044    5.635775675    544.3250736     31859005.2    58.60658425    85.34745822     1.56040501     103097.582  0.00293674394 
27           NO_ID    0.819860077    1.125405845    4.946428326    447.0338965    26446802.28    40.66484348    108.4651272     1.18069396     94927.2687  0.00208013508 
28           NO_ID   0.8003825441   0.8715290113    5.674379739    482.8989123    33424612.75    47.53668051    95.60370789     1.10614062     145441.082  0.00457990448 
