%eval_id interface              w              t              L              p              E              X              Y           mass         stress   displacement 
1            NO_ID            0.8            0.8              4            400       23000000             40             80    0.592592593         140625  0.00243050867 
2            NO_ID              1            0.8              4            400       23000000             40             80    0.740740741         105000  0.00182600414 
3            NO_ID            1.2            0.8              4            400       23000000             40             80    0.888888889     83333.3333  0.00148462874 
4            NO_ID            0.8              1              4            400       23000000             40             80    0.740740741          97500  0.00141244804 
5            NO_ID              1              1              4            400       23000000             40             80    0.925925926          72000 0.000995536352 
6            NO_ID            1.2              1              4            400       23000000             40             80     1.11111111     56666.6667 0.000785487109 
7            NO_ID            0.8            1.2              4            400       23000000             40             80    0.888888889     72916.6667 0.000969532575 
8            NO_ID              1            1.2              4            400       23000000             40             80     1.11111111     53333.3333 0.000634967469 
9            NO_ID            1.2            1.2              4            400       23000000             40             80     1.33333333     41666.6667 0.000480100478 
10           NO_ID            0.8            0.8              5            400       23000000             40             80    0.740740741         140625  0.00474708725 
11           NO_ID              1            0.8              5            400       23000000             40             80    0.925925926         105000  0.00356641433 
12           NO_ID            1.2            0.8              5            400       23000000             40             80     1.11111111     83333.3333   0.0028996655 
13           NO_ID            0.8              1              5            400       23000000             40             80    0.925925926          97500  0.00275868757 
14           NO_ID              1              1              5            400       23000000             40             80     1.15740741          72000  0.00194440694 
15           NO_ID            1.2              1              5            400       23000000             40             80     1.38888889     56666.6667  0.00153415451 
16           NO_ID            0.8            1.2              5            400       23000000             40             80     1.11111111     72916.6667  0.00189361831 
17           NO_ID              1            1.2              5            400       23000000             40             80     1.38888889     53333.3333  0.00124017084 
18           NO_ID            1.2            1.2              5            400       23000000             40             80     1.66666667     41666.6667 0.000937696247 
19           NO_ID            0.8            0.8              6            400       23000000             40             80    0.888888889         140625  0.00820296677 
20           NO_ID              1            0.8              6            400       23000000             40             80     1.11111111         105000  0.00616276397 
21           NO_ID            1.2            0.8              6            400       23000000             40             80     1.33333333     83333.3333  0.00501062199 
22           NO_ID            0.8              1              6            400       23000000             40             80     1.11111111          97500  0.00476701212 
23           NO_ID              1              1              6            400       23000000             40             80     1.38888889          72000  0.00335993519 
24           NO_ID            1.2              1              6            400       23000000             40             80     1.66666667     56666.6667  0.00265101899 
25           NO_ID            0.8            1.2              6            400       23000000             40             80     1.33333333     72916.6667  0.00327217244 
26           NO_ID              1            1.2              6            400       23000000             40             80     1.66666667     53333.3333  0.00214301521 
27           NO_ID            1.2            1.2              6            400       23000000             40             80              2     41666.6667  0.00162033911 
28           NO_ID            0.8            0.8              4            500       23000000             40             80    0.740740741         140625  0.00243050867 
29           NO_ID              1            0.8              4            500       23000000             40             80    0.925925926         105000  0.00182600414 
30           NO_ID            1.2            0.8              4            500       23000000             40             80     1.11111111     83333.3333  0.00148462874 
31           NO_ID            0.8              1              4            500       23000000             40             80    0.925925926          97500  0.00141244804 
32           NO_ID              1              1              4            500       23000000             40             80     1.15740741          72000 0.000995536352 
33           NO_ID            1.2              1              4            500       23000000             40             80     1.38888889     56666.6667 0.000785487109 
34           NO_ID            0.8            1.2              4            500       23000000             40             80     1.11111111     72916.6667 0.000969532575 
35           NO_ID              1            1.2              4            500       23000000             40             80     1.38888889     53333.3333 0.000634967469 
36           NO_ID            1.2            1.2              4            500       23000000             40             80     1.66666667     41666.6667 0.000480100478 
37           NO_ID            0.8            0.8              5            500       23000000             40             80    0.925925926         140625  0.00474708725 
38           NO_ID              1            0.8              5            500       23000000             40             80     1.15740741         105000  0.00356641433 
39           NO_ID            1.2            0.8              5            500       23000000             40             80     1.38888889     83333.3333   0.0028996655 
40           NO_ID            0.8              1              5            500       23000000             40             80     1.15740741          97500  0.00275868757 
41           NO_ID              1              1              5            500       23000000             40             80     1.44675926          72000  0.00194440694 
42           NO_ID            1.2              1              5            500       23000000             40             80     1.73611111     56666.6667  0.00153415451 
43           NO_ID            0.8            1.2              5            500       23000000             40             80     1.38888889     72916.6667  0.00189361831 
44           NO_ID              1            1.2              5            500       23000000             40             80     1.73611111     53333.3333  0.00124017084 
45           NO_ID            1.2            1.2              5            500       23000000             40             80     2.08333333     41666.6667 0.000937696247 
46           NO_ID            0.8            0.8              6            500       23000000             40             80     1.11111111         140625  0.00820296677 
47           NO_ID              1            0.8              6            500       23000000             40             80     1.38888889         105000  0.00616276397 
48           NO_ID            1.2            0.8              6            500       23000000             40             80     1.66666667     83333.3333  0.00501062199 
49           NO_ID            0.8              1              6            500       23000000             40             80     1.38888889          97500  0.00476701212 
50           NO_ID              1              1              6            500       23000000             40             80     1.73611111          72000  0.00335993519 
51           NO_ID            1.2              1              6            500       23000000             40             80     2.08333333     56666.6667  0.00265101899 
52           NO_ID            0.8            1.2              6            500       23000000             40             80     1.66666667     72916.6667  0.00327217244 
53           NO_ID              1            1.2              6            500       23000000             40             80     2.08333333     53333.3333  0.00214301521 
54           NO_ID            1.2            1.2              6            500       23000000             40             80            2.5     41666.6667  0.00162033911 
55           NO_ID            0.8            0.8              4            600       23000000             40             80    0.888888889         140625  0.00243050867 
56           NO_ID              1            0.8              4            600       23000000             40             80     1.11111111         105000  0.00182600414 
57           NO_ID            1.2            0.8              4            600       23000000             40             80     1.33333333     83333.3333  0.00148462874 
58           NO_ID            0.8              1              4            600       23000000             40             80     1.11111111          97500  0.00141244804 
59           NO_ID              1              1              4            600       23000000             40             80     1.38888889          72000 0.000995536352 
60           NO_ID            1.2              1              4            600       23000000             40             80     1.66666667     56666.6667 0.000785487109 
61           NO_ID            0.8            1.2              4            600       23000000             40             80     1.33333333     72916.6667 0.000969532575 
62           NO_ID              1            1.2              4            600       23000000             40             80     1.66666667     53333.3333 0.000634967469 
63           NO_ID            1.2            1.2              4            600       23000000             40             80              2     41666.6667 0.000480100478 
64           NO_ID            0.8            0.8              5            600       23000000             40             80     1.11111111         140625  0.00474708725 
65           NO_ID              1            0.8              5            600       23000000             40             80     1.38888889         105000  0.00356641433 
66           NO_ID            1.2            0.8              5            600       23000000             40             80     1.66666667     83333.3333   0.0028996655 
67           NO_ID            0.8              1              5            600       23000000             40             80     1.38888889          97500  0.00275868757 
68           NO_ID              1              1              5            600       23000000             40             80     1.73611111          72000  0.00194440694 
69           NO_ID            1.2              1              5            600       23000000             40             80     2.08333333     56666.6667  0.00153415451 
70           NO_ID            0.8            1.2              5            600       23000000             40             80     1.66666667     72916.6667  0.00189361831 
71           NO_ID              1            1.2              5            600       23000000             40             80     2.08333333     53333.3333  0.00124017084 
72           NO_ID            1.2            1.2              5            600       23000000             40             80            2.5     41666.6667 0.000937696247 
73           NO_ID            0.8            0.8              6            600       23000000             40             80     1.33333333         140625  0.00820296677 
74           NO_ID              1            0.8              6            600       23000000             40             80     1.66666667         105000  0.00616276397 
75           NO_ID            1.2            0.8              6            600       23000000             40             80              2     83333.3333  0.00501062199 
76           NO_ID            0.8              1              6            600       23000000             40             80     1.66666667          97500  0.00476701212 
77           NO_ID              1              1              6            600       23000000             40             80     2.08333333          72000  0.00335993519 
78           NO_ID            1.2              1              6            600       23000000             40             80            2.5     56666.6667  0.00265101899 
79           NO_ID            0.8            1.2              6            600       23000000             40             80              2     72916.6667  0.00327217244 
80           NO_ID              1            1.2              6            600       23000000             40             80            2.5     53333.3333  0.00214301521 
81           NO_ID            1.2            1.2              6            600       23000000             40             80              3     41666.6667  0.00162033911 
82           NO_ID            0.8            0.8              4            400       29000000             40             80    0.592592593         140625  0.00192764481 
83           NO_ID              1            0.8              4            400       29000000             40             80    0.740740741         105000  0.00144821018 
84           NO_ID            1.2            0.8              4            400       29000000             40             80    0.888888889     83333.3333  0.00117746417 
85           NO_ID            0.8              1              4            400       29000000             40             80    0.740740741          97500  0.00112021741 
86           NO_ID              1              1              4            400       29000000             40             80    0.925925926          72000 0.000789563313 
87           NO_ID            1.2              1              4            400       29000000             40             80     1.11111111     56666.6667 0.000622972535 
88           NO_ID            0.8            1.2              4            400       29000000             40             80    0.888888889     72916.6667 0.000768939628 
89           NO_ID              1            1.2              4            400       29000000             40             80     1.11111111     53333.3333 0.000503594889 
90           NO_ID            1.2            1.2              4            400       29000000             40             80     1.33333333     41666.6667 0.000380769345 
91           NO_ID            0.8            0.8              5            400       29000000             40             80    0.740740741         140625  0.00376493127 
92           NO_ID              1            0.8              5            400       29000000             40             80    0.925925926         105000  0.00282853551 
93           NO_ID            1.2            0.8              5            400       29000000             40             80     1.11111111     83333.3333  0.00229973471 
94           NO_ID            0.8              1              5            400       29000000             40             80    0.925925926          97500  0.00218792462 
95           NO_ID              1              1              5            400       29000000             40             80     1.15740741          72000  0.00154211585 
96           NO_ID            1.2              1              5            400       29000000             40             80     1.38888889     56666.6667  0.00121674323 
97           NO_ID            0.8            1.2              5            400       29000000             40             80     1.11111111     72916.6667  0.00150183521 
98           NO_ID              1            1.2              5            400       29000000             40             80     1.38888889     53333.3333 0.000983583768 
99           NO_ID            1.2            1.2              5            400       29000000             40             80     1.66666667     41666.6667 0.000743690127 
100          NO_ID            0.8            0.8              6            400       29000000             40             80    0.888888889         140625  0.00650580123 
101          NO_ID              1            0.8              6            400       29000000             40             80     1.11111111         105000  0.00488770935 
102          NO_ID            1.2            0.8              6            400       29000000             40             80     1.33333333     83333.3333  0.00397394158 
103          NO_ID            0.8              1              6            400       29000000             40             80     1.11111111          97500  0.00378073375 
104          NO_ID              1              1              6            400       29000000             40             80     1.38888889          72000  0.00266477618 
105          NO_ID            1.2              1              6            400       29000000             40             80     1.66666667     56666.6667   0.0021025323 
106          NO_ID            0.8            1.2              6            400       29000000             40             80     1.33333333     72916.6667  0.00259517125 
107          NO_ID              1            1.2              6            400       29000000             40             80     1.66666667     53333.3333  0.00169963275 
108          NO_ID            1.2            1.2              6            400       29000000             40             80              2     41666.6667  0.00128509654 
109          NO_ID            0.8            0.8              4            500       29000000             40             80    0.740740741         140625  0.00192764481 
110          NO_ID              1            0.8              4            500       29000000             40             80    0.925925926         105000  0.00144821018 
111          NO_ID            1.2            0.8              4            500       29000000             40             80     1.11111111     83333.3333  0.00117746417 
112          NO_ID            0.8              1              4            500       29000000             40             80    0.925925926          97500  0.00112021741 
113          NO_ID              1              1              4            500       29000000             40             80     1.15740741          72000 0.000789563313 
114          NO_ID            1.2              1              4            500       29000000             40             80     1.38888889     56666.6667 0.000622972535 
115          NO_ID            0.8            1.2              4            500       29000000             40             80     1.11111111     72916.6667 0.000768939628 
116          NO_ID              1            1.2              4            500       29000000             40             80     1.38888889     53333.3333 0.000503594889 
117          NO_ID            1.2            1.2              4            500       29000000             40             80     1.66666667     41666.6667 0.000380769345 
118          NO_ID            0.8            0.8              5            500       29000000             40             80    0.925925926         140625  0.00376493127 
119          NO_ID              1            0.8              5            500       29000000             40             80     1.15740741         105000  0.00282853551 
120          NO_ID            1.2            0.8              5            500       29000000             40             80     1.38888889     83333.3333  0.00229973471 
121          NO_ID            0.8              1              5            500       29000000             40             80     1.15740741          97500  0.00218792462 
122          NO_ID              1              1              5            500       29000000             40             80     1.44675926          72000  0.00154211585 
123          NO_ID            1.2              1              5            500       29000000             40             80     1.73611111     56666.6667  0.00121674323 
124          NO_ID            0.8            1.2              5            500       29000000             40             80     1.38888889     72916.6667  0.00150183521 
125          NO_ID              1            1.2              5            500       29000000             40             80     1.73611111     53333.3333 0.000983583768 
126          NO_ID            1.2            1.2              5            500       29000000             40             80     2.08333333     41666.6667 0.000743690127 
127          NO_ID            0.8            0.8              6            500       29000000             40             80     1.11111111         140625  0.00650580123 
128          NO_ID              1            0.8              6            500       29000000             40             80     1.38888889         105000  0.00488770935 
129          NO_ID            1.2            0.8              6            500       29000000             40             80     1.66666667     83333.3333  0.00397394158 
130          NO_ID            0.8              1              6            500       29000000             40             80     1.38888889          97500  0.00378073375 
131          NO_ID              1              1              6            500       29000000             40             80     1.73611111          72000  0.00266477618 
132          NO_ID            1.2              1              6            500       29000000             40             80     2.08333333     56666.6667   0.0021025323 
133          NO_ID            0.8            1.2              6            500       29000000             40             80     1.66666667     72916.6667  0.00259517125 
134          NO_ID              1            1.2              6            500       29000000             40             80     2.08333333     53333.3333  0.00169963275 
135          NO_ID            1.2            1.2              6            500       29000000             40             80            2.5     41666.6667  0.00128509654 
136          NO_ID            0.8            0.8              4            600       29000000             40             80    0.888888889         140625  0.00192764481 
137          NO_ID              1            0.8              4            600       29000000             40             80     1.11111111         105000  0.00144821018 
