%eval_id interface              L              w              t              p              E              X              Y           mass         stress   displacement 
1            NO_ID    5.272234378    2.067731825    1.753485974            500       29000000            350            500     5.53117607     75198.0064  0.00101499072 
2            NO_ID    5.720219415      1.8535592    1.901621976            500       29000000            350            500     5.83404269      76900.249  0.00125791306 
3            NO_ID    5.213337436    2.036558342    1.971481704            500       29000000            350            500     6.05663928     63582.2087 0.000748892043 
4            NO_ID    5.101100988    1.844964413     2.29415595            500       29000000            350            500     6.24742596     57786.7731 0.000605543209 
5            NO_ID    3.796258635    2.491353394    1.900315181            500       29000000            350            500     5.20047524     51149.5224 0.000238293085 
6            NO_ID    5.474252151    1.973654348     2.08510736            500       29000000            350            500     6.51854369     60817.0088 0.000802451826 
7            NO_ID    4.852739569    2.185390047    1.820286985            500       29000000            350            500     5.58575748     65585.5789 0.000664703008 
8            NO_ID    4.927378894     1.98924836     2.07261234            500       29000000            350            500     5.87826706     60712.0981 0.000585078391 
9            NO_ID    5.002142087    2.165935015    1.963501513            500       29000000            350            500     6.15543788     58724.3953 0.000607349856 
10           NO_ID    5.899968218     2.04590983    2.215864973            500       29000000            350            500     7.73937196     52505.4008 0.000823332526 
11           NO_ID    4.083071007    1.906027049    1.918865692            500       29000000            350            500     4.32102557     72871.0185 0.000427423167 
12           NO_ID    4.889479818    2.157043228    2.224722417            500       29000000            350            500     6.78927818      48387.657 0.000423177236 
13           NO_ID    4.689794288    1.654335362    2.054557833            500       29000000            350            500     4.61234711     80306.5087 0.000729643606 
14           NO_ID    4.967091273    2.259312891    2.011752966            500       29000000            350            500     6.53250028     53259.1277 0.000525468258 
15           NO_ID    4.871428642    1.906769811    2.274189809            500       29000000            350            500     6.11234118     55818.5228 0.000501668761 
16           NO_ID    5.192078016    1.983112178    1.846376172            500       29000000            350            500     5.50091512     73294.9296 0.000904530269 
17           NO_ID     4.82512801    2.022957224    1.849429174            500       29000000            350            500     5.22347487     71103.4912 0.000701427248 
18           NO_ID     5.50993797    2.175540499    2.064271246            500       29000000            350            500     7.15989925      53854.944 0.000712577082 
19           NO_ID    4.549965613    2.061004692    2.180011047            500       29000000            350            500     5.91523572     53306.3303  0.00038642643 
20           NO_ID    5.011457773    1.817358434    1.993797767            500       29000000            350            500     5.25426579     73416.0253 0.000787984309 
21           NO_ID    3.929639563    2.343970075    2.020568109            500       29000000            350            500     5.38523353     50265.4313 0.000243959163 
22           NO_ID    4.761807257    2.020899677    1.403604116            500       29000000            350            500     3.90829616     111984.759   0.0014064232 
23           NO_ID    4.304079568     1.83611613    2.019539985            500       29000000            350            500     4.61805562     70904.1899 0.000476451279 
24           NO_ID    4.368862373    1.806329761    2.055454463            500       29000000            350            500     4.69352923      70622.966 0.000494809731 
25           NO_ID    4.954595392    2.133162127    2.065655768            500       29000000            350            500     6.31707852     55301.1327 0.000533650441 
26           NO_ID    5.878482771    1.978888247    1.799819367            500       29000000            350            500     6.05817348     76594.9053   0.0014031635 
27           NO_ID    5.651412394    1.998820875    1.854490049            500       29000000            350            500      6.0615215     71984.4482  0.00114002868 
28           NO_ID    5.456421679    1.632135902    1.954809298            500       29000000            350            500     5.03726625     88428.8152  0.00130226755 
29           NO_ID    6.207451486    2.182139247    1.843847018            500       29000000            350            500     7.22681514     64356.1948  0.00134813219 
30           NO_ID    5.531809526    2.161766776    2.068975467            500       29000000            350            500     7.15908737      54138.481 0.000724340434 
31           NO_ID    5.057450779    2.016740249    1.746646154            500       29000000            350            500     5.15481197     78320.4257 0.000937635967 
32           NO_ID    5.122705833    2.145110522    1.649087307            500       29000000            350            500     5.24347264     79100.4602  0.00104293089 
33           NO_ID    5.202938562     1.96269558    1.757270091            500       29000000            350            500     5.19237949      80520.777  0.00104580774 
34           NO_ID    5.701229205    1.792952681    2.356651526            500       29000000            350            500     6.97042028     57846.9584 0.000854619066 
35           NO_ID    4.364601472    1.796080715    1.841304462            500       29000000            350            500     4.17659454     84619.9267 0.000634890996 
36           NO_ID    5.268453855     2.03373473    2.042493532            500       29000000            350            500     6.33234316     60217.6737 0.000712414825 
37           NO_ID    4.720662874    2.002112131    1.983978904            500       29000000            350            500     5.42568654      64474.058 0.000563076338 
38           NO_ID    4.765765638     1.80869377    1.738154841            500       29000000            350            500     4.33523309     91832.7008 0.000935890365 
39           NO_ID    4.415617391    2.054654622     2.28006695            500       29000000            350            500     5.98555092     49902.7777 0.000321871404 
40           NO_ID    4.848732874    1.587772823     1.97401684            500       29000000            350            500     4.39737742     90685.6403  0.00094836576 
41           NO_ID    3.669753616    2.053191062    1.665936453            500       29000000            350            500      3.6320429     82549.3001 0.000395327777 
42           NO_ID    4.541543701    1.642176911    1.907222922            500       29000000            350            500     4.11577062      91052.374 0.000779868783 
43           NO_ID    5.691783867    2.247435882    1.939034557            500       29000000            350            500     7.17707568     56944.5152 0.000875172119 
44           NO_ID    5.033280006    1.917379738    1.780946377            500       29000000            350            500     4.97320469     81403.9668 0.000948521909 
45           NO_ID    5.676941677    1.834051497    2.164122311            500       29000000            350            500      6.5197963     63773.6965 0.000947816709 
46           NO_ID    5.629393334     2.07561908    2.320612839            500       29000000            350            500     7.84581757     47844.0495 0.000630246316 
47           NO_ID    5.415944823    1.790722911    1.914629289            500       29000000            350            500     5.37295973     79904.8371  0.00111645501 
48           NO_ID    4.952762928    2.159516262    1.790638396            500       29000000            350            500     5.54163832     68473.7495 0.000749955065 
49           NO_ID      4.6320149    2.084320822    2.095327267            500       29000000            350            500     5.85345987      55852.828 0.000437854555 
50           NO_ID    5.912641919    2.232600691    2.348625144            500       29000000            350            500     8.97082955     42298.6994 0.000623440404 
51           NO_ID     4.44961408     1.91948906    1.796298681            500       29000000            350            500     4.43928272     80167.0975 0.000640555682 
52           NO_ID    4.947467458    1.820869892    1.959969788            500       29000000            350            500     5.10901884     75204.3594 0.000784362273 
53           NO_ID    5.143874942    2.129001105    2.132818854            500       29000000            350            500     6.75844098     52699.5496 0.000555356076 
54           NO_ID    4.758037709    1.948486056    1.610822958            500       29000000            350            500     4.32114917     93675.5241  0.00101118061 
55           NO_ID    5.247956415    1.922962136    1.718163736            500       29000000            350            500     5.01708856     85900.3147  0.00117072466 
56           NO_ID    5.517999909    2.147585156    1.685843215            500       29000000            350            500     5.78063477     76160.0219  0.00122639185 
57           NO_ID    4.868445778    1.755009293    2.235146656            500       29000000            350            500     5.52588761     64719.8773 0.000614387503 
58           NO_ID    5.608441976     1.66576375    1.983303517            500       29000000            350            500     5.36131205     83945.2154  0.00131893682 
59           NO_ID    4.747539479     1.61657609    1.868172326            500       29000000            350            500     4.14866088     96187.0312 0.000958446947 
60           NO_ID    5.053344416    2.027243298    1.952520989            500       29000000            350            500     5.78770984     64987.6669 0.000703189741 
61           NO_ID    5.332930799    2.196267803     1.95416856            500       29000000            350            500     6.62276784     58047.9593 0.000729651722 
62           NO_ID    5.116106764    2.012084841    2.073367982            500       29000000            350            500     6.17573343     59701.3118 0.000641635426 
63           NO_ID    4.735236337    2.243999522    1.801189999            500       29000000            350            500     5.53796508      64361.173 0.000612576004 
64           NO_ID    4.773780137    1.945157844    2.039679267            500       29000000            350            500     5.48031359     64282.9134 0.000573596552 
65           NO_ID    5.539947839    1.828644712    2.220281271            500       29000000            350            500      6.5083256     61564.2025 0.000841871302 
66           NO_ID    4.994126218    2.122346662    1.462525959            500       29000000            350            500     4.48544656     97961.6323  0.00136345841 
67           NO_ID    3.725341409    2.030431742    2.169739255            500       29000000            350            500     4.74884819     54861.2715 0.000220091459 
68           NO_ID    4.845483677    2.155649577    1.784433336            500       29000000            350            500     5.39314246     69031.9072  0.00071044667 
69           NO_ID    5.236381967    2.151414582    1.968044285            500       29000000            350            500     6.41529393     59055.5302 0.000699767503 
70           NO_ID     5.98583033     2.11739479    1.895236877            500       29000000            350            500     6.95049935      64159.558  0.00117651049 
71           NO_ID    4.719424732     2.11833167    1.722795986            500       29000000            350            500     4.98359958     74879.7504 0.000737527901 
72           NO_ID    4.944229626    2.178697149    2.057630505            500       29000000            350            500      6.4134122     54023.9019 0.000517738083 
73           NO_ID    4.398941053    2.102061204    1.711108623            500       29000000            350            500     4.57822724      76518.756 0.000614485762 
74           NO_ID    4.668784259    1.799658698    2.245431686            500       29000000            350            500     5.45908767      61938.315 0.000509481121 
75           NO_ID     4.70059729    2.123481421    2.275855523            500       29000000            350            500      6.5731337     47739.5659 0.000367190904 
76           NO_ID    5.245547162    1.746611678    1.876305822            500       29000000            350            500     4.97412904      85476.428  0.00110911529 
77           NO_ID    5.507097443    2.024241877    2.329420716            500       29000000            350            500     7.51379541     49313.8053 0.000613857096 
78           NO_ID    6.545595427    2.064324988    2.027965161            500       29000000            350            500     7.92891906     59636.1902   0.0013556799 
79           NO_ID    4.714535401    1.851437371    2.124689131            500       29000000            350            500     5.36623379     64728.0284 0.000553505039 
80           NO_ID    5.186553057    2.282059292    1.911197783            500       29000000            350            500     6.54542194     57089.0009 0.000672852168 
81           NO_ID    4.512003447    2.043741964     2.14075906            500       29000000            350            500     5.71201767     55515.6738 0.000398375736 
82           NO_ID    5.543853322    1.737328089    2.016150347            500       29000000            350            500     5.61878939     76989.9133  0.00113422527 
83           NO_ID    5.286165836    1.848236727    1.824702683            500       29000000            350            500     5.15842068     82441.3926  0.00109828645 
84           NO_ID    4.240387316    1.560633056    2.269476616            500       29000000            350            500     4.34568564     75314.3386 0.000514934934 
85           NO_ID    4.254191814    2.047672274     1.63266653            500       29000000            350            500     4.11529785      85638.571 0.000652176616 
86           NO_ID    5.231963841    2.222921263    2.029536313            500       29000000            350            500     6.82986165     53704.3841 0.000615376961 
87           NO_ID    5.397269551    2.120467276    1.511707236            500       29000000            350            500     5.00610138     92804.0904  0.00157108366 
88           NO_ID    4.586427903    1.878664528    2.021401121            500       29000000            350            500     5.03967551     68516.4114 0.000551923969 
89           NO_ID    4.908301316    2.049050643     2.01797966            500       29000000            350            500     5.87255319     60738.4564 0.000585382938 
90           NO_ID    5.071363863    2.138133734    2.034469757            500       29000000            350            500     6.38318074     56477.4362 0.000591479232 
91           NO_ID    5.081930622    1.904826889    1.995288035            500       29000000            350            500     5.58876836      68566.832 0.000754282677 
92           NO_ID    5.405601627    2.272847197    1.749523054            500       29000000            350            500     6.21956787     66359.1502 0.000968954673 
93           NO_ID    5.637940796    1.893305221    1.972949945            500       29000000            350            500     6.09373378      70400.482  0.00106770364 
94           NO_ID    4.570765158    2.153628128    2.243582426            500       29000000            350            500     6.39039817     47854.3342 0.000340045531 
95           NO_ID    4.913149877    2.074224341    2.117503316            500       29000000            350            500     6.24404615     55307.1866  0.00051409197 
96           NO_ID    5.013267394    2.190671404    1.816259217            500       29000000            350            500     5.77167949     65606.1886  0.00073469239 
97           NO_ID    4.782341488    1.734139101    1.877789643            500       29000000            350            500     4.50606778     86249.9394 0.000849892701 
98           NO_ID    4.885234227    2.115153493    2.086696432            500       29000000            350            500     6.23896889     55067.7243 0.000506246926 
99           NO_ID    5.478096536    1.548902178    2.056591423            500       29000000            350            500      5.0492626     88355.3484  0.00133662411 
100          NO_ID    4.982431544    1.929018338    1.870698675            500       29000000            350            500     5.20244864     74608.0622 0.000808701754 
101          NO_ID    5.200576666    2.011079792    1.767074109            500       29000000            350            500     5.34763596     77156.6527 0.000993658555 
102          NO_ID    5.467577337    1.768521531    2.299668877            500       29000000            350            500     6.43423413     61272.6737 0.000812082444 
103          NO_ID    4.938851716    2.314667177    1.715312852            500       29000000            350            500     5.67393228     66900.6759 0.000761939836 
104          NO_ID     4.87674701    1.775144655    2.213648356            500       29000000            350            500     5.54496584     64593.4912 0.000614020095 
105          NO_ID    4.113872828    1.958049386    2.206731139            500       29000000            350            500     5.14339873     56284.0906  0.00030535093 
106          NO_ID    5.177408043    2.236255442       2.351174            500       29000000            350            500     7.87670973     42128.2157 0.000416374845 
107          NO_ID    5.371303351    2.167536496    1.875889776            500       29000000            350            500     6.31945581     63159.0086 0.000843371862 
108          NO_ID    5.378321935    2.239660825    1.868254122            500       29000000            350            500     6.51165321     60785.4659 0.000817168198 
109          NO_ID    5.006353501    1.884535613    1.894775341            500       29000000            350            500     5.17261139     75547.6502 0.000826934842 
110          NO_ID    5.424835169    2.541496932    2.217856952            500       29000000            350            500     8.84781298     38656.4983 0.000449999476 
111          NO_ID     5.00489238    1.892028333    1.993356721            500       29000000            350            500      5.4617733     69333.8926 0.000730627344 
112          NO_ID    5.199312159    2.274901754    1.930102477            500       29000000            350            500     6.60564412     56423.4779 0.000663586908 
113          NO_ID    5.400644615    1.703416676    1.934255416            500       29000000            350            500     5.14880664     84489.6361  0.00118714055 
114          NO_ID    3.899354128    1.985324946      2.1583028            500       29000000            350            500     4.83462639     57124.4114  0.00026586783 
115          NO_ID    4.855107241    1.869131783     2.28625707            500       29000000            350            500     6.00330042      56998.004 0.000511675098 
116          NO_ID    4.447432272    2.045097047    2.159635915            500       29000000            350            500     5.68368594     54701.2091 0.000373618978 
117          NO_ID    5.819311795    2.095723961    1.588275887            500       29000000            350            500     5.60477154     86850.0734  0.00174450321 
118          NO_ID    5.377012606    2.224054548    2.005316264            500       29000000            350            500     6.93897993     54714.8343 0.000687829386 
119          NO_ID    5.149468652    1.701028745     2.03895694            500       29000000            350            500     5.16783206     78017.1429 0.000926290968 
120          NO_ID    4.630413326    1.910166515    2.123100468            500       29000000            350            500     5.43360169     61951.0203 0.000495171871 
121          NO_ID    5.175680549    1.859931967    2.139551723            500       29000000            350            500     5.95955151     63608.1646 0.000715475092 
122          NO_ID    5.393300306     2.16463943    2.341850763            500       29000000            350            500     7.91089555     44408.3642 0.000503100312 
123          NO_ID    4.439238964    1.992615523     1.90421677            500       29000000            350            500     4.87387834      69295.846 0.000520461711 
124          NO_ID    4.930757812    1.760340904    2.210597824            500       29000000            350            500     5.55196164     65530.2956 0.000647564271 
125          NO_ID    5.447176913    1.832153858    1.923160085            500       29000000            350            500     5.55360676     76801.6223  0.00108018612 
126          NO_ID    5.110286532    2.078630253    1.810889935            500       29000000            350            500     5.56596943     70850.2615 0.000844312172 
127          NO_ID    5.307431278    2.386488095    2.288399031            500       29000000            350            500     8.38690402      40117.546  0.00042874309 
128          NO_ID    5.492329499    1.970838998    2.046442741            500       29000000            350            500     6.40963937     62766.2584  0.00084751992 
129          NO_ID    4.641612229     1.75252481    2.310758647            500       29000000            350            500     5.43893519     61648.2611 0.000502371286 
130          NO_ID    5.585658606    1.933664348    2.111962819            500       29000000            350            500     6.60036591     61376.2625 0.000859595204 
131          NO_ID    5.098389431    1.956714973    2.048456305            500       29000000            350            500     5.91307713     63313.1135 0.000684897359 
132          NO_ID     5.75644295    2.083058337    2.078324346            500       29000000            350            500     7.21099558     56628.5573 0.000857429507 
133          NO_ID    6.258165193    2.148336912    2.156701931            500       29000000            350            500      8.3900743     51119.1091 0.000959863072 
134          NO_ID    4.515474784    1.887629849    1.699762598            500       29000000            350            500     4.19213049     89681.7304 0.000787596665 
135          NO_ID    3.849490981    2.004632178    2.085968521            500       29000000            350            500     4.65770545     59445.0643 0.000271303242 
136          NO_ID    4.653564731    2.202894704    2.364398247            500       29000000            350            500     7.01336421      42663.036 0.000306628916 
137          NO_ID    4.182219209     2.34881049    2.198283572            500       29000000            350            500      6.2483414     43746.2115 0.000237167842 
138          NO_ID    5.785710725    1.729886612    2.035772855            500       29000000            350            500     5.89562618     76316.2005  0.00127460851 
139          NO_ID    5.738323193    2.059666143    1.735949258            500       29000000            350            500     5.93670033     76849.7368  0.00135069688 
140          NO_ID     4.62557421    2.171370754    1.946358565            500       29000000            350            500     5.65651253     59354.3051 0.000489114066 
141          NO_ID    5.079357928    1.674179022    1.672089917            500       29000000            350            500     4.11430617     108899.483  0.00140836344 
142          NO_ID    5.769862667    2.103511498    2.144540216            500       29000000            350            500     7.53131526     53141.1519 0.000789652823 
143          NO_ID    5.034742757    1.964587484    1.772292964            500       29000000            350            500     5.07236431     79316.1468 0.000926225154 
144          NO_ID    4.644940572     2.41140009     1.88767047            500       29000000            350            500     6.11789308     54045.7451 0.000463661434 
145          NO_ID    5.227083968    1.931011557    2.078671685            500       29000000            350            500     6.07094804     63048.8465 0.000731231711 
146          NO_ID    4.897036676    1.894593099    1.924710662            500       29000000            350            500     5.16703051     73140.3103 0.000739629088 
147          NO_ID    5.165417623    1.782040064    1.959116766            500       29000000            350            500     5.21806508     77615.3733 0.000929133625 
148          NO_ID    4.153817229    2.049630534    1.936796734            500       29000000            350            500     4.77126212     64828.8973 0.000391436452 
149          NO_ID    4.606981775    1.865433456    2.417262547            500       29000000            350            500      6.0109947     52488.1298 0.000394967863 
150          NO_ID    4.940387026    1.498540496     1.91638521            500       29000000            350            500     4.10523982     103309.095  0.00119854854 
151          NO_ID    5.388952362    2.268857217    1.783292568            500       29000000            350            500      6.3089978     64454.6268 0.000913895845 
152          NO_ID    4.143023053      2.1506474    1.831203517            500       29000000            350            500     4.72116787     66392.4758 0.000416454967 
153          NO_ID    5.157135799    1.927761996    1.834372709            500       29000000            350            500     5.27686312      77053.231 0.000941181779 
154          NO_ID    5.952717418     2.03824031    2.208322103            500       29000000            350            500     7.75281353     53071.5309 0.000857762052 
155          NO_ID    4.425908274    2.100575296    1.848388382            500       29000000            350            500     4.97233246      67550.309  0.00051268521 
156          NO_ID    5.336848224    2.258050539    1.943919794            500       29000000            350            500     6.77833639       56345.75 0.000711987341 
157          NO_ID    4.525432884    1.926495123    2.146509336            500       29000000            350            500     5.41485823     60158.0695 0.000444434787 
158          NO_ID    5.113354568    1.676998012    1.949508771            500       29000000            350            500     4.83715402     85372.0291  0.00102148711 
159          NO_ID    4.561801618    2.209328074    2.119310894            500       29000000            350            500     6.18041365     50532.7174 0.000370304029 
160          NO_ID    5.064063061    1.976401424    1.941271758            500       29000000            350            500     5.62194854     67972.3183 0.000747459606 
161          NO_ID    4.834660751    1.780835873    2.059956359            500       29000000            350            500     5.13185275     71844.1642 0.000685954428 
162          NO_ID    4.634897338    2.328017484    2.316284284            500       29000000            350            500     7.23176797     40747.2208 0.000288768724 
163          NO_ID    5.563391046    1.811978877    1.719834566            500       29000000            350            500     5.01655592     93165.1026  0.00152314408 
164          NO_ID    5.167520663    2.005462401    1.891398307            500       29000000            350            500     5.67160541     69422.0711 0.000826150818 
165          NO_ID    4.374506252    1.815029991    1.768929829            500       29000000            350            500     4.06396275     88858.5433  0.00069007858 
166          NO_ID    4.692590967     1.84047285    1.777980186            500       29000000            350            500     4.44319423     86431.5023 0.000822878568 
167          NO_ID    4.976271371    1.724570957     2.09890892            500       29000000            350            500     5.21200691     73127.4834 0.000767716965 
168          NO_ID    4.064372202    1.825341868    2.104626222            500       29000000            350            500      4.5179241     67051.7197 0.000371705831 
169          NO_ID    5.038915422    1.881550715    1.898782639            500       29000000            350            500      5.2090019     75463.7576 0.000841261028 
170          NO_ID    5.450513224    2.456809108    2.119989106            500       29000000            350            500     8.21426494     43580.8531 0.000537971726 
171          NO_ID    6.126924661    1.719142675    2.296287985            500       29000000            350            500     6.99853406     64038.0373  0.00121917782 
172          NO_ID    4.680499747    2.409160392    1.642089616            500       29000000            350            500     5.35773293     68214.7218 0.000697080279 
