%eval_id interface              w              t              L              p              E              X              Y           mass         stress   displacement 
1            NO_ID    1.349076175    1.111293202    7.919556167    450.2102241    24204208.79    5.102047942    13.86313789     3.09341074     6506.05169 0.000633501172 
2            NO_ID    0.580173027   0.7382125848    11.16169029    462.7868712    32424752.11    8.023559104    13.14746721     1.28028376     44324.2478   0.0135840908 
3            NO_ID    1.076641228    1.212804693    14.25669531    528.3627122    33189013.53    2.479275567    10.69673956     5.69205603     5110.89115  0.00202742748 
4            NO_ID    0.688550268   0.5196638891    8.803676667     456.562705     30421742.2    1.181716376    5.158877058    0.832298226     19524.4725  0.00483042884 
5            NO_ID    1.320940519    1.173122202    14.50825155    488.7634084    25624079.67    7.935650342    12.48170633     6.35911296     6445.68022  0.00312122575 
6            NO_ID   0.7422591336    1.444627753    5.475668684    461.3256752    25476143.21    9.212683327    9.174958217     1.56751806     10498.7277 0.000415638291 
7            NO_ID    1.205625462    1.051677739    14.99191181    492.6127599    29638224.81    4.593832729    8.414118748     5.41893611     5589.10942  0.00295460907 
8            NO_ID    1.060662778   0.5475416012    10.88163829    500.1130048    31778750.58    8.550330137    9.375733302     1.82899764     26019.1111   0.0089875941 
9            NO_ID   0.5633961105    1.380275932    6.773821933    523.7512616    28987771.87    5.310819227    9.785712881     1.59659542     12743.2284 0.000965289623 
10           NO_ID    1.055466303    1.239490122     13.4898951    458.7343796    30771944.51    3.999886374     5.01193243     4.68504284     3592.56549  0.00118329733 
11           NO_ID   0.9859109779     1.28608306    11.70734697    497.0001255    33051826.11    9.669223524    11.39366945     4.26950936     8833.03192  0.00185315544 
12           NO_ID   0.7259308991    1.354091683     11.9257656    484.5465553    31858295.49    2.679812232    6.881669893     3.28716417     5355.37422  0.00136927481 
13           NO_ID   0.6110194274    1.498375157    10.06807752    464.7510106    29950300.79    3.561712421    14.68427585     2.47912679     10242.6941  0.00172200625 
14           NO_ID   0.5027359921    1.327236156     13.9583022    521.8902783    33745090.58     2.00024329    14.11149063     2.81291266     13138.3738  0.00544038558 
15           NO_ID   0.8526208991   0.9071852404    5.638804648    515.8190608    25154967.69    3.371359726    6.481560976     1.30194503     8609.45415 0.000336880497 
16           NO_ID    1.297008887    1.251784524    10.62917176    470.6540166    27465093.33    8.686338903    13.45276771     4.70034771     6446.54168   0.0010792058 
17           NO_ID    0.936588517    1.473134013    12.39741113    488.4311372    28680229.13     4.93954177    10.72470146      4.8348354     5459.43926  0.00144305803 
18           NO_ID    0.640866711   0.9814934924    6.175602653     547.954702    32429477.48    7.799015574    10.39232106     1.23178639     21708.2853  0.00100866334 
19           NO_ID   0.8214427875   0.8508776154    9.307119102    483.5756375    26610434.75    4.404001416    11.91091488     1.82045675     16619.0115  0.00306873435 
20           NO_ID    1.425744966   0.8632878766    9.100856796     475.624961    25818346.95    9.403478111     10.0720398     3.08319271     8902.56732    0.001355332 
21           NO_ID    1.429150802   0.7656374968    6.675722273    497.7957625    27729758.79    7.302285756    7.844148744     2.10429668     8419.64107 0.000543224849 
