# Web server load statistics 
# Plot parameters follow:
#
# set title "Web server activity"
# set xlab  "time (min)"
# set ylab  "load avg"
# set ymin  0.0
# set ymax  5.0
# set dx    0.083333
# set nfilt 128
#
# Machines: dejanews dejanews3 dejanews4 dejanews5

0 0.85 0.83 1.56 1.27
1 0.86 0.77 1.39 2.77
2 0.73 0.64 1.28 2.81
3 0.75 0.68 1.26 2.82
4 0.69 0.62 1.16 2.91
5 0.88 0.81 1.14 2.84
6 1.12 0.91 1.05 3.34
7 1.20 0.83 1.29 3.47
8 1.01 0.77 1.47 3.08
9 1.01 0.70 1.51 2.84
10 0.93 0.67 1.63 3.01
11 0.85 0.61 1.74 2.77
12 0.79 0.57 1.68 2.86
13 0.72 0.52 1.79 2.63
14 0.66 0.64 1.80 2.50
15 0.93 0.91 1.66 2.30
16 0.93 0.83 1.77 2.44
17 1.10 0.85 1.62 2.24
18 1.84 0.94 1.67 1.98
19 1.77 0.79 1.53 2.06
20 1.63 0.81 1.65 2.29
21 1.74 0.74 1.68 2.59
22 1.68 0.68 1.54 3.18
23 1.62 0.63 1.42 3.01
24 1.57 0.66 1.39 3.33
25 1.61 0.61 1.27 4.34
26 1.48 0.55 1.25 4.07
27 1.41 0.51 1.06 3.82
28 1.38 0.47 1.21 3.91
29 1.27 0.70 1.12 3.60
30 1.25 0.64 1.03 3.55
31 1.39 0.59 0.95 3.51
32 1.36 1.02 0.95 3.23
33 1.41 1.02 0.87 2.97
34 1.77 0.94 0.80 2.73
35 1.71 0.94 0.82 2.67
36 1.60 1.10 0.69 2.41
37 1.55 1.09 0.63 2.45
38 1.67 1.24 0.82 2.26
39 1.61 1.30 0.84 2.16
40 1.48 1.36 0.93 2.54
41 1.93 1.33 0.86 2.34
42 1.85 1.30 0.79 2.15
43 1.78 1.20 0.80 2.06
44 1.64 1.10 0.90 1.89
45 2.15 1.01 1.63 1.74
46 2.05 0.93 1.58 1.84
47 1.74 0.86 1.41 1.56
48 1.60 1.03 1.62 1.59
49 1.55 1.03 1.57 1.79
50 1.51 0.95 1.84 1.72
51 1.39 1.11 1.86 1.59
52 1.36 1.02 1.79 1.78
53 1.25 1.26 1.64 1.63
54 1.14 1.24 1.51 1.50
55 1.05 1.14 1.47 2.26
56 0.89 1.20 1.40 1.99
57 0.82 1.35 1.29 1.91
58 0.91 1.40 1.18 2.07
59 0.84 1.45 1.09 1.91
60 0.93 1.57 1.16 2.00
61 1.10 1.45 1.14 1.84
62 1.01 1.33 1.54 1.69
63 1.01 1.30 1.49 1.55
64 0.93 1.25 1.37 1.71
65 1.18 1.15 1.31 1.74
66 1.33 1.05 1.21 1.60
67 1.38 0.97 1.11 1.47
68 1.43 0.97 1.02 1.35
69 1.48 1.13 0.94 1.32
70 1.36 1.04 0.86 1.21
71 1.41 0.96 1.36 1.12
72 1.38 0.96 1.25 1.11
73 1.27 0.81 1.14 1.10
74 1.48 0.75 1.20 0.93
75 1.55 0.77 1.19 0.93
76 1.50 0.95 1.17 0.94
77 1.86 1.19 1.08 0.86
